zip_code,population_2021,,,,
91784,"26,330",,,,
93933,"26,301",,,,
91302,"26,241",,,,
93035,"26,224",,,,
95815,"26,211",,,,
92860,"26,204",,,,
95409,"26,179",,,,
92211,"26,106",,,,
90304,"26,103",,,,
94133,"26,090",,,,
91403,"26,061",,,,
94547,"26,050",,,,
94123,"26,002",,,,
90249,"25,929",,,,
90602,"25,907",,,,
92262,"25,888",,,,
92284,"25,832",,,,
91307,"25,773",,,,
91301,"25,737",,,,
92832,"25,720",,,,
90291,"25,685",,,,
94947,"25,468",,,,
90270,"25,415",,,,
95864,"25,367",,,,
95003,"25,244",,,,
92585,"25,238",,,,
95776,"25,230",,,,
95354,"25,165",,,,
90064,"25,161",,,,
92606,"25,126",,,,
94704,"25,124",,,,
93405,"25,081",,,,
95367,"25,037",,,,
90274,"24,890",,,,
90740,"24,721",,,,
93907,"24,667",,,,
96007,"24,666",,,,
94609,"24,623",,,,
90403,"24,525",,,,
92011,"24,518",,,,
92119,"24,465",,,,
95054,"24,404",,,,
90015,"24,228",,,,
94024,"24,203",,,,
91775,"24,079",,,,
92651,"24,042",,,,
95501,"24,007",,,,
90292,"23,951",,,,
91411,"23,902",,,,
95503,"23,878",,,,
94085,"23,805",,,,
91737,"23,790",,,,
94597,"23,725",,,,
90720,"23,660",,,,
91106,"23,589",,,,
93610,"23,575",,,,
94089,"23,492",,,,
90404,"23,460",,,,
90303,"23,415",,,,
95391,"23,235",,,,
93041,"23,210",,,,
95405,"23,176",,,,
93212,"23,148",,,,
94030,"23,083",,,,
94596,"23,046",,,,
92354,"22,977",,,,
95531,"22,887",,,,
91201,"22,807",,,,
91202,"22,757",,,,
93263,"22,642",,,,
92844,"22,601",,,,
95818,"22,423",,,,
95746,"22,345",,,,
95521,"22,259",,,,
93444,"22,032",,,,
95135,"22,010",,,,
92108,"21,995",,,,
96130,"21,904",,,,
95965,"21,891",,,,
94503,"21,874",,,,
90717,"21,727",,,,
93023,"21,691",,,,
92501,"21,610",,,,
90732,"21,582",,,,
92663,"21,523",,,,
92808,"21,496",,,,
95620,"21,494",,,,
92865,"21,384",,,,
91040,"21,289",,,,
90272,"21,282",,,,
92225,"21,272",,,,
95827,"21,241",,,,
95949,"21,240",,,,
90603,"21,236",,,,
93560,"21,195",,,,
90715,"21,174",,,,
90068,"21,127",,,,
92371,"21,123",,,,
94579,"21,034",,,,
94706,"20,962",,,,
94127,"20,927",,,,
95841,"20,892",,,,
92106,"20,889",,,,
92344,"20,768",,,,
93630,"20,736",,,,
93203,"20,674",,,,
91011,"20,621",,,,
92582,"20,580",,,,
90048,"20,504",,,,
94519,"20,495",,,,
91602,"20,465",,,,
92887,"20,395",,,,
95110,"20,377",,,,
92082,"20,300",,,,
92377,"20,201",,,,
91381,"20,193",,,,
90069,"20,185",,,,
95819,"20,146",,,,
94022,"20,069",,,,
92586,"20,022",,,,
92264,"19,965",,,,
94703,"19,857",,,,
95138,"19,827",,,,
90254,"19,787",,,,
91390,"19,772",,,,
92118,"19,672",,,,
93927,"19,665",,,,
90210,"19,627",,,,
91101,"19,542",,,,
91501,"19,493",,,,
92029,"19,466",,,,
91361,"19,454",,,,
94563,"19,454",,,,
91506,"19,449",,,,
93103,"19,282",,,,
90814,"19,166",,,,
92603,"19,128",,,,
94564,"19,065",,,,
96161,"19,058",,,,
93015,"18,810",,,,
91345,"18,752",,,,
91204,"18,738",,,,
93210,"18,733",,,,
95602,"18,705",,,,
95519,"18,467",,,,
95366,"18,462",,,,
92587,"18,432",,,,
91723,"18,398",,,,
91901,"18,367",,,,
93111,"18,327",,,,
95959,"18,280",,,,
94949,"18,273",,,,
93268,"18,113",,,,
90502,"18,110",,,,
95816,"18,033",,,,
92617,"17,960",,,,
93728,"17,779",,,,
91902,"17,759",,,,
91914,"17,742",,,,
92637,"17,546",,,,
94945,"17,482",,,,
94595,"17,455",,,,
90670,"17,446",,,,
95673,"17,332",,,,
94618,"17,324",,,,
95334,"17,253",,,,
90245,"17,243",,,,
94301,"17,243",,,,
93247,"17,182",,,,
92270,"17,129",,,,
91436,"16,970",,,,
93930,"16,945",,,,
94612,"16,884",,,,
90265,"16,868",,,,
95963,"16,812",,,,
95422,"16,759",,,,
93631,"16,738",,,,
94542,"16,705",,,,
95448,"16,596",,,,
94702,"16,557",,,,
91203,"16,557",,,,
93241,"16,543",,,,
93013,"16,515",,,,
94305,"16,469",,,,
90701,"16,390",,,,
93110,"16,345",,,,
95203,"16,255",,,,
92010,"15,976",,,,
95437,"15,903",,,,
94960,"15,871",,,,
94505,"15,796",,,,
90623,"15,703",,,,
93402,"15,692",,,,
94556,"15,672",,,,
96021,"15,660",,,,
95304,"15,585",,,,
93648,"15,507",,,,
94019,"15,452",,,,
90232,"15,342",,,,
93250,"15,318",,,,
91208,"15,316",,,,
95066,"15,265",,,,
90305,"15,254",,,,
92845,"15,240",,,,
93950,"15,169",,,,
94552,"15,131",,,,
95540,"14,989",,,,
92866,"14,966",,,,
93514,"14,949",,,,
93505,"14,914",,,,
94041,"14,862",,,,
96022,"14,793",,,,
94805,"14,783",,,,
94502,"14,732",,,,
95368,"14,674",,,,
95252,"14,644",,,,
95650,"14,479",,,,
95605,"14,328",,,,
95490,"14,256",,,,
91708,"14,179",,,,
94705,"14,150",,,,
95817,"14,109",,,,
90716,"14,050",,,,
93301,"14,004",,,,
95742,"13,955",,,,
94507,"13,906",,,,
93640,"13,884",,,,
93204,"13,881",,,,
93221,"13,865",,,,
94105,"13,810",,,,
93543,"13,793",,,,
95357,"13,740",,,,
91377,"13,561",,,,
95360,"13,551",,,,
95030,"13,528",,,,
95832,"13,446",,,,
90013,"13,413",,,,
94904,"13,391",,,,
95315,"13,334",,,,
95388,"13,270",,,,
95130,"13,147",,,,
93723,"13,109",,,,
92625,"13,102",,,,
92313,"13,079",,,,
93636,"12,921",,,,
95640,"12,915",,,,
91105,"12,888",,,,
93433,"12,846",,,,
92274,"12,843",,,,
92014,"12,823",,,,
90293,"12,812",,,,
93730,"12,810",,,,
94920,"12,803",,,,
93923,"12,758",,,,
91108,"12,755",,,,
95451,"12,611",,,,
93908,"12,605",,,,
92610,"12,524",,,,
95320,"12,481",,,,
94707,"12,313",,,,
95814,"12,302",,,,
92075,"12,234",,,,
94517,"12,200",,,,
92408,"12,169",,,,
94709,"12,115",,,,
90402,"12,046",,,,
91502,"12,044",,,,
95948,"12,010",,,,
94108,"11,963",,,,
93614,"11,951",,,,
94708,"11,937",,,,
90040,"11,844",,,,
94965,"11,821",,,,
90755,"11,813",,,,
94065,"11,772",,,,
93647,"11,575",,,,
95453,"11,523",,,,
91207,"11,488",,,,
90248,"11,472",,,,
92007,"11,447",,,,
90094,"11,426",,,,
95073,"11,359",,,,
95425,"11,337",,,,
93109,"11,291",,,,
91024,"11,253",,,,
93442,"11,250",,,,
95953,"11,247",,,,
95954,"11,234",,,,
93108,"11,097",,,,
90212,"10,999",,,,
91978,"10,979",,,,
92314,"10,905",,,,
94571,"10,776",,,,
95338,"10,726",,,,
92136,"10,676",,,,
94158,"10,658",,,,
95012,"10,647",,,,
95064,"10,646",,,,
93286,"10,500",,,,
96019,"10,486",,,,
93223,"10,485",,,,
92567,"10,480",,,,
93646,"10,425",,,,
95386,"10,371",,,,
95119,"10,354",,,,
95326,"10,254",,,,
93465,"10,192",,,,
96097,"10,169",,,,
94925,"10,145",,,,
93701,"10,123",,,,
92320,"10,053",,,,
93219,"10,047",,,,
95322,"10,012",,,,
92055,"9,891",,,,
95713,"9,869",,,,
95694,"9,858",,,,
95033,"9,767",,,,
92359,"9,587",,,,
94572,"9,546",,,,
93622,"9,483",,,,
91935,"9,450",,,,
92657,"9,342",,,,
90211,"9,202",,,,
95327,"9,165",,,,
92310,"9,100",,,,
95946,"9,086",,,,
93926,"9,086",,,,
